CODEPRA	MA	CroplandFraction	FodderlandFraction	NPGFraction	PGFraction	ForestFraction
77059	12005	0,59045	0,010591	0,0074014	0,010579	0,38098
32387	37917	0,58754	0,013081	0,16059	0,047288	0,1915
47156	94393	0,58481	0,044262	0,13927	0,085726	0,14594
86347	9768,8	0,5848	0,0093153	0,042789	0,036238	0,32686
60329	93076	0,58468	0,0019017	0,0066183	0,012076	0,39472
67302	44426	0,58458	0,019178	0,019245	0,076149	0,30085
32383	83786	0,58321	0,012592	0,16233	0,069546	0,17232
77061	43697	0,57755	0,0045312	0,0081471	0,031192	0,37858
69197	6391,2	0,57559	0,017643	0,056678	0,25879	0,091301
72355	28310	0,57438	0,049487	0,042811	0,15842	0,1749
37069	67508	0,574	0,024664	0,057475	0,034604	0,30925
10019	7690,5	0,57368	0,00078018	0,032378	0,028477	0,36468
40379	911,9	0,5724	0,014256	0,088825	0,06141	0,26311
60043	57269	0,56872	0,017758	0,015785	0,08708	0,31065
02336	86379	0,5599	0,015027	0,010153	0,083863	0,33106
68001	32005	0,55965	0,00096859	0,0091548	0,006374	0,42386
47399	53342	0,55864	0,022271	0,11769	0,14354	0,15786
68301	43256	0,55837	0,007236	0,013432	0,048825	0,37214
51318	57164	0,55797	0,018718	0,036491	0,11768	0,26914
02329	39376	0,55786	0,0033015	0,0031237	0,042919	0,3928
16372	3575,3	0,55657	0,038406	0,11766	0,088664	0,1987
10319	49954	0,55453	0,0028426	0,01069	0,022921	0,40902
28351	77854	0,55337	0,03513	0,030596	0,12061	0,26029
80038	77786	0,55177	0,12361	0,029556	0,19079	0,10427
02328	143930	0,54729	0,0073092	0,0095047	0,051046	0,38485
09390	19432	0,54353	0,034222	0,17893	0,13025	0,11307
51336	42319	0,54292	0,0029538	0,023654	0,026678	0,40379
21312	22220	0,53969	0,012421	0,012691	0,10913	0,32606
45439	20965	0,53795	0,035773	0,11748	0,070211	0,23858
37073	10783	0,53779	0,004637	0,03793	0,061301	0,35834
89319	29793	0,53669	0,019434	0,023093	0,036753	0,38403
81153	85876	0,53504	0,028144	0,18099	0,11191	0,14391
79366	24558	0,53481	0,080462	0,15425	0,1492	0,081286
91055	28231	0,53434	0,0049945	0,010981	0,029825	0,41986
38465	14295	0,53325	0,006226	0,03106	0,073523	0,35594
82396	5811,7	0,53322	0,020304	0,10892	0,077775	0,25978
49347	52045	0,53246	0,035181	0,065847	0,061678	0,30483
29103	6130,8	0,5314	0,092158	0,19981	0,068181	0,10845
86438	243610	0,52954	0,025446	0,16293	0,071901	0,21018
21322	38026	0,52695	0,0089761	0,0095903	0,056251	0,39824
65381	6972	0,52632	0,068703	0,1288	0,065978	0,2102
76046	209370	0,5263	0,09247	0,056767	0,21084	0,11362
37435	98942	0,52597	0,034818	0,087011	0,039872	0,31233
85366	26107	0,5257	0,07408	0,093615	0,13847	0,16813
81151	41688	0,52501	0,013721	0,11464	0,062968	0,28366
69196	1034,1	0,52192	0,00062242	0,073063	0,20597	0,19843
49344	28962	0,51913	0,049754	0,049478	0,15651	0,22513
